denat_amplitude,method,seed,r2,mae
0.2,linear,,0.33496093490012147,0.20623571543897715
0.2,plsr,,0.334893508244954,0.20624592343506573
0.2,crn,0,0.44709134101867676,0.19854521751403809
0.2,crn,1,0.499623441696167,0.1870138704776764
0.2,crn,2,0.4341457366943359,0.20655901432037355
0.4,linear,,0.6607140127725554,0.15158638594537918
0.4,plsr,,0.660610182276971,0.15160556941154252
0.4,crn,0,0.5585934281349182,0.15878491401672362
0.4,crn,1,0.6184866666793823,0.14638062566518784
0.4,crn,2,0.5990894556045532,0.14700930714607238
0.6,linear,,0.7819972454695135,0.1235829297212547
0.6,plsr,,0.781936424081794,0.12360751678825177
0.6,crn,0,0.6163502693176269,0.15062290132045747
0.6,crn,1,0.5955283880233765,0.14457773864269258
0.6,crn,2,0.7041205406188965,0.1219716265797615
0.8,linear,,0.8388035740452157,0.10229802120665658
0.8,plsr,,0.8387035598088858,0.10232235975123105
0.8,crn,0,0.7343598127365112,0.1275058478116989
0.8,crn,1,0.7539461612701416,0.11879064738750458
0.8,crn,2,0.715839433670044,0.12795686721801758
